station,queue_length
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,0
S1,1
S1,3
S1,4
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S1,5
S2,0
S2,0
S2,0
S2,0
S2,0
S2,0
S2,0
S2,0
S2,0
S2,0
S2,0
S2,0
S2,0
S2,0
S2,0
S2,0
S2,0
S2,0
S2,4
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,5
S2,6
S2,6
S2,6
S2,6
S2,6
S2,6
S2,6
S2,6
S2,6
S2,6
S2,6
S2,6
S2,6
S2,6
S2,6
S2,6
S2,6
S2,6
S2,7
S2,7
S2,7
S2,7
S2,7
S2,7
S2,7
S2,7
S2,7
S2,7
S2,7
S2,7
S2,7
S2,7
S2,7
S2,7
S2,8
S2,8
S2,8
S2,8
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,0
S3,1
S3,1
S3,1
S3,1
S3,1
S3,1
S3,1
S3,1
S3,1
S3,1
S3,1
S3,1
S3,2
S3,2
S3,2
S3,2
S3,2
S3,2
S3,3
S3,3
S3,3
S3,4
S3,5
S3,5
S3,6
S3,7
S3,7
S3,8
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,0
S4,1
S4,1
S4,1
S4,1
S4,1
S4,1
S4,1
S4,1
S4,1
S4,1
S4,2
S4,2
S4,2
S4,2
S4,3
S4,3
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,0
S5,1
S5,1
S5,1
S5,1
S5,1
S5,1
S5,1
S5,1
S5,1
S5,1
S5,1
S5,2
S5,2
S5,2
S5,2
S5,2
S5,2
S5,3
S5,3
S5,4
S5,4
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,0
S6,1
S6,1
S6,2
S6,4
S6,4
S6,6
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,0
S7,1
S7,1
S7,1
S7,1
S7,1
S7,1
S7,1
S7,1
S7,1
S7,2
S7,2
S7,2
S7,2
S7,2
S7,2
S7,3
S7,3
S7,3
S7,3
S7,4
S7,4
S7,4
S7,4
S7,5
S7,5
S7,6
S7,6
S7,7
S7,7
S7,7
S7,8
S7,8
S7,8
S7,8
S7,8
S7,9
S7,9
S7,9
S7,10
S7,10
S7,11
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,0
S8,1
S8,1
S8,1
S8,1
S8,1
S8,1
S8,1
S8,1
S8,1
S8,1
S8,1
S8,1
S8,1
S8,2
S8,2
S8,2
S8,2
S8,2
S8,2
S8,2
S8,2
S8,2
S8,2
S8,2
S8,3
S8,3
S8,3
S8,3
S8,3
S8,3
S8,3
S8,3
S8,4
S8,4
S8,4
S8,4
